Date,Priority,IM,Shift,Start Time,Item,WO#,L/R,Mold No.,Planned Vol (set),Totes Needed,Plan Hr,Cycle Time,Actual OP hr,DT Hours,Unplanned DT Reason,DT Reason notes,Actual Cycle Time,Actual Startup time,Actual Prod. Vol (set),Good LH,Good RH,Def LH,Def RH,Scrap %,"Quoted
Efficiency","CBC
Efficiency",eff*Prod,Utilization,OEE. Quote,OEE CBC STD,Total Scheduled,Total Produced,Total Good Parts,"Achiev.
(Actual)","Achiev.
(Good)",Production Cost,Scrap Cost,Material Used,Material,Material $,"PXYZ
Efficiency",OEE PXYZ STD,Status,Job_Change_In_Shift
2026-05-31,,IM1,3,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM1,1,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM1,2,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM10,3,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM10,1,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM10,2,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM11,3,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM11,1,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM11,2,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM12,3,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM12,1,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM12,2,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM14,3,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM14,1,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM14,2,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM15,3,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM15,1,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM15,2,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM16,3,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM16,1,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM16,2,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM17,3,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM17,1,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM17,2,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM18,3,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM18,1,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM18,2,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM19,3,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM19,1,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM19,2,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM2,3,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM2,1,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM2,2,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
2026-05-31,,IM3,3,,SD,,,0,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,SD,False
