event_id,machine_id,scheduled_date,pm_type,status
EV-1001,IM1,2026-07-01,1M,Closed
EV-1002,IM1,2026-07-31,1M,Closed
EV-1003,IM1,2026-08-28,3M,Late
EV-1004,IM1,2026-09-29,1M,Scheduled
EV-1005,IM1,2026-10-29,1M,Scheduled
EV-1006,IM1,2026-11-27,6M,Scheduled
EV-1007,IM1,2026-07-08,1W,Closed
EV-1008,IM1,2026-07-16,1W,Closed
EV-1009,IM1,2026-07-20,1W,Closed
EV-1010,IM1,2026-08-04,1W,Closed
EV-1011,IM1,2026-08-13,1W,Closed
EV-1012,IM1,2026-08-21,1W,Closed
EV-1013,IM1,2026-09-01,1W,Scheduled
EV-1014,IM1,2026-09-07,1W,Scheduled
EV-1015,IM1,2026-09-18,1W,Scheduled
EV-1016,IM1,2026-09-21,1W,Scheduled
EV-1017,IM1,2026-10-09,1W,Scheduled
EV-1018,IM1,2026-10-12,1W,Scheduled
EV-1019,IM1,2026-10-21,1W,Scheduled
EV-1020,IM1,2026-11-06,1W,Scheduled
EV-1021,IM1,2026-11-13,1W,Scheduled
EV-1022,IM1,2026-11-20,1W,Scheduled
EV-1023,IM1,2026-12-02,1W,Scheduled
EV-1024,IM1,2026-12-09,1W,Scheduled
EV-1025,IM1,2026-12-17,1W,Scheduled
EV-1026,IM1,2026-12-25,1W,Scheduled
EV-1027,IM1,2026-12-31,1W,Scheduled
EV-1028,IM2,2026-07-03,1M,Closed
EV-1029,IM2,2026-08-03,3M,Closed
EV-1030,IM2,2026-09-02,1M,Scheduled
EV-1031,IM2,2026-10-02,1M,Scheduled
EV-1032,IM2,2026-10-30,6M,Scheduled
EV-1033,IM2,2026-12-01,1M,Scheduled
EV-1034,IM2,2026-07-09,1W,Closed
EV-1035,IM2,2026-07-15,1W,Closed
EV-1036,IM2,2026-07-22,1W,Closed
EV-1037,IM2,2026-07-29,1W,Closed
EV-1038,IM2,2026-08-14,1W,Closed
EV-1039,IM2,2026-08-21,1W,Closed
EV-1040,IM2,2026-08-26,1W,Closed
EV-1041,IM2,2026-09-10,1W,Scheduled
EV-1042,IM2,2026-09-16,1W,Scheduled
EV-1043,IM2,2026-09-24,1W,Scheduled
EV-1044,IM2,2026-10-08,1W,Scheduled
EV-1045,IM2,2026-10-16,1W,Scheduled
EV-1046,IM2,2026-10-22,1W,Scheduled
EV-1047,IM2,2026-11-04,1W,Scheduled
EV-1048,IM2,2026-11-09,1W,Scheduled
EV-1049,IM2,2026-11-16,1W,Scheduled
EV-1050,IM2,2026-11-26,1W,Scheduled
EV-1051,IM2,2026-12-10,1W,Scheduled
EV-1052,IM2,2026-12-14,1W,Scheduled
EV-1053,IM2,2026-12-22,1W,Scheduled
EV-1054,IM2,2026-12-31,1W,Scheduled
EV-1055,IM3,2026-07-07,3M,Closed
EV-1056,IM3,2026-08-06,1M,Closed
EV-1057,IM3,2026-09-04,1M,Scheduled
EV-1058,IM3,2026-10-05,6M,Scheduled
EV-1059,IM3,2026-11-04,1M,Scheduled
EV-1060,IM3,2026-12-04,1M,Scheduled
EV-1061,IM3,2026-07-16,1W,Closed
EV-1062,IM3,2026-07-21,1W,Closed
EV-1063,IM3,2026-07-31,1W,Closed
EV-1064,IM3,2026-08-11,1W,Closed
EV-1065,IM3,2026-08-20,1W,Closed
EV-1066,IM3,2026-08-24,1W,Closed
EV-1067,IM3,2026-09-09,1W,Scheduled
EV-1068,IM3,2026-09-17,1W,Scheduled
EV-1069,IM3,2026-09-24,1W,Scheduled
EV-1070,IM3,2026-09-28,1W,Scheduled
