Date,IM,Shift,Status
2026-05-31,IM1,3,SD
2026-05-31,IM1,1,SD
2026-05-31,IM1,2,SD
2026-05-31,IM10,3,SD
2026-05-31,IM10,1,SD
2026-05-31,IM10,2,SD
2026-05-31,IM11,3,SD
2026-05-31,IM11,1,SD
2026-05-31,IM11,2,SD
2026-05-31,IM12,3,SD
2026-05-31,IM12,1,SD
2026-05-31,IM12,2,SD
2026-05-31,IM14,3,SD
2026-05-31,IM14,1,SD
2026-05-31,IM14,2,SD
2026-05-31,IM15,3,SD
2026-05-31,IM15,1,SD
2026-05-31,IM15,2,SD
2026-05-31,IM16,3,SD
2026-05-31,IM16,1,SD
2026-05-31,IM16,2,SD
2026-05-31,IM17,3,SD
2026-05-31,IM17,1,SD
2026-05-31,IM17,2,SD
2026-05-31,IM18,3,SD
2026-05-31,IM18,1,SD
2026-05-31,IM18,2,SD
2026-05-31,IM19,3,SD
2026-05-31,IM19,1,SD
2026-05-31,IM19,2,SD
2026-05-31,IM2,3,SD
2026-05-31,IM2,1,SD
2026-05-31,IM2,2,SD
2026-05-31,IM3,3,SD
2026-05-31,IM3,1,SD
2026-05-31,IM3,2,SD
2026-05-31,IM4,3,SD
2026-05-31,IM4,1,SD
2026-05-31,IM4,2,SD
2026-05-31,IM5,3,SD
2026-05-31,IM5,1,SD
2026-05-31,IM5,2,SD
2026-05-31,IM6,3,SD
2026-05-31,IM6,1,SD
2026-05-31,IM6,2,SD
2026-05-31,IM7,3,SD
2026-05-31,IM7,1,SD
2026-05-31,IM7,2,SD
2026-05-31,IM8,3,SD
2026-05-31,IM8,1,SD
2026-05-31,IM8,2,SD
2026-05-31,IM9,3,SD
2026-05-31,IM9,1,SD
2026-05-31,IM9,2,SD
2026-06-01,IM1,3,ON
2026-06-01,IM1,1,ON
2026-06-01,IM1,2,ON
2026-06-01,IM10,3,ON
2026-06-01,IM10,1,ON
2026-06-01,IM10,2,ON
2026-06-01,IM11,3,ON
2026-06-01,IM11,1,ON
2026-06-01,IM11,2,ON
2026-06-01,IM12,3,SD
2026-06-01,IM12,1,SD
2026-06-01,IM12,2,ON
2026-06-01,IM14,3,ON
2026-06-01,IM14,1,ON
2026-06-01,IM14,2,ON
2026-06-01,IM15,3,SD
2026-06-01,IM15,1,SD
2026-06-01,IM15,2,SD
2026-06-01,IM16,3,SD
2026-06-01,IM16,1,SD
2026-06-01,IM16,2,SD
2026-06-01,IM17,3,SD
2026-06-01,IM17,1,SD
2026-06-01,IM17,2,SD
2026-06-01,IM18,3,SD
2026-06-01,IM18,1,ON
2026-06-01,IM18,2,ON
2026-06-01,IM19,3,ON
2026-06-01,IM19,1,ON
2026-06-01,IM19,2,ON
2026-06-01,IM2,3,SD
2026-06-01,IM2,1,SD
2026-06-01,IM2,2,SD
2026-06-01,IM3,3,ON
2026-06-01,IM3,1,ON
2026-06-01,IM3,2,ON
2026-06-01,IM4,3,ON
2026-06-01,IM4,1,ON
2026-06-01,IM4,2,ON
2026-06-01,IM5,3,SD
2026-06-01,IM5,1,SD
2026-06-01,IM5,2,SD
2026-06-01,IM6,3,SD
2026-06-01,IM6,1,ON
2026-06-01,IM6,2,ON
2026-06-01,IM7,3,ON
2026-06-01,IM7,1,ON
2026-06-01,IM7,2,ON
2026-06-01,IM8,3,SD
2026-06-01,IM8,1,SD
2026-06-01,IM8,2,SD
2026-06-01,IM9,3,SD
2026-06-01,IM9,1,ON
2026-06-01,IM9,2,ON
2026-06-02,IM1,3,ON
2026-06-02,IM1,1,ON
2026-06-02,IM1,2,ON
2026-06-02,IM10,3,ON
2026-06-02,IM10,1,ON
2026-06-02,IM10,2,ON
2026-06-02,IM11,3,ON
2026-06-02,IM11,1,ON
2026-06-02,IM11,2,ON
2026-06-02,IM12,3,ON
2026-06-02,IM12,1,ON
2026-06-02,IM12,2,ON
2026-06-02,IM14,3,ON
2026-06-02,IM14,1,ON
2026-06-02,IM14,2,ON
2026-06-02,IM15,3,ON
2026-06-02,IM15,1,ON
2026-06-02,IM15,2,ON
2026-06-02,IM16,3,SD
2026-06-02,IM16,1,SD
2026-06-02,IM16,2,SD
2026-06-02,IM17,3,SD
2026-06-02,IM17,1,SD
2026-06-02,IM17,2,SD
2026-06-02,IM18,3,SD
2026-06-02,IM18,1,SD
2026-06-02,IM18,2,SD
2026-06-02,IM19,3,ON
2026-06-02,IM19,1,ON
2026-06-02,IM19,2,ON
2026-06-02,IM2,3,SD
2026-06-02,IM2,1,ON
2026-06-02,IM2,2,ON
2026-06-02,IM3,3,ON
2026-06-02,IM3,1,ON
2026-06-02,IM3,2,ON
2026-06-02,IM4,3,ON
2026-06-02,IM4,1,ON
2026-06-02,IM4,2,ON
2026-06-02,IM5,3,SD
2026-06-02,IM5,1,SD
2026-06-02,IM5,2,SD
2026-06-02,IM6,3,ON
2026-06-02,IM6,1,ON
2026-06-02,IM6,2,ON
2026-06-02,IM7,3,ON
2026-06-02,IM7,1,ON
2026-06-02,IM7,2,ON
2026-06-02,IM8,3,SD
2026-06-02,IM8,1,SD
2026-06-02,IM8,2,SD
2026-06-02,IM9,3,ON
2026-06-02,IM9,1,ON
2026-06-02,IM9,2,ON
